State,Per Capita Personal Income 2020,Per Capita Personal Income 2019
Alabama,46479,43996
Alaska,63502,61742
Arizona,49648,45808
Arkansas,47235,44788
California,70192,64513
Colorado,63776,60848
Connecticut,78609,75794
Delaware,56097,53793
District of Columbia,86567,80819
Florida,55675,53034
Georgia,51780,48765
Hawaii,58655,55464
Idaho,48759,45741
Illinois,62930,59115
Indiana,51926,48980
Iowa,53478,50533
Kansas,56099,53203
Kentucky,47339,43881
Louisiana,50874,47670
Maine,54211,50421
Maryland,66799,62989
Massachussetts,78458,73477
Michigan,53259,49277
Minnesota,62005,58426
Mississippi,42129,39062
Missouri,51697,48945
Montana,53361,50099
Nebraska,57570,54037
Nevada,53720,51419
New Hampshire,67097,63785
New Jersey,73460,69626
New Mexico,46338,43121
New York,74472,69951
North Carolina,50305,47660
North Dakota,61530,58163
Ohio,53641,50201
Oklahoma,49878,48317
Oregon,56312,52462
Penssylvania,61700,57596
Rhode Island,60825,56616
South Carolina,48021,45455
South Dakota,59281,54725
Tennessee,51046,49009
Texas,55129,53266
Utah,52204,49115
Vermont,59187,55396
Virginia,61958,58738
Washington,67126,63021
West Virginia,44994,42500
Wisconsin,55593,52918
Wyoming,61855,61065
