State, unemployment rate in 2019, unemployment rate in 2020
Nebraska,3,4.2
South Dakota,3,4.6
Wyoming,3.7,5.8
Utah,2.5,4.7
Montana,3.6,5.9
Alaska,5.4,7.8
Iowa,2.8,5.3
Kentucky,4.1,6.6
Arkansas,3.5,6.1
District of Columbia,5.4,8
Idaho,2.8,5.4
Mississippi,5.5,8.1
Kansas,3.2,5.9
Maine,2.7,5.4
Missouri,3.3,6.1
North Dakota,2.3,5.1
Alabama,3,5.9
Arizona,4.9,7.9
Georgia,3.5,6.5
Minnesota,3.2,6.2
Oklahoma,3.1,6.1
Wisconsin,3.3,6.3
Maryland,3.5,6.8
Vermont,2.3,5.6
New Mexico,5,8.4
South Carolina,2.8,6.2
West Virginia,4.9,8.3
North Carolina,3.8,7.3
Virginia,2.7,6.2
Louisiana,4.7,8.3
Indiana,3.2,7.1
Ohio,4.2,8.1
Oregon,3.7,7.6
Delaware,3.7,7.8
New Hampshire,2.6,6.7
Tennessee,3.4,7.5
Texas,3.5,7.6
Connecticut,3.6,7.9
Washington,4.1,8.4
Florida,3.3,7.7
Colorado,2.7,7.3
Pennsylvania,4.5,9.1
Illinois,4,9.5
Michigan,4.1,9.9
Rhode Island,3.6,9.4
California,4.2,10.1
Massachusetts,3,8.9
New York,3.8,10
New Jersey,3.4,9.8
Nevada,3.9,12.8
Hawaii,2.5,11.6
